time_stamp,x,y,z,qw,qx,qy,qz
1.75897e+09,0.00469075,-0.0029669,-0.00395742,0.999999,0.000744242,0.000245752,0.000968515
1.75897e+09,0.00483207,-0.00308198,-0.00425068,1,0.000649793,0.000302142,0.000599826
1.75897e+09,0.00509401,-0.00381184,-0.00436643,0.999999,0.00058945,0.000269968,0.00110722
1.75897e+09,0.00436305,-0.00432844,-0.00466245,0.999999,0.000698042,0.000426283,0.000845437
1.75897e+09,0.00463116,-0.00310585,-0.0047963,0.999999,0.000690604,0.000192719,0.000984305
1.75897e+09,0.00441485,-0.00295644,-0.00465695,0.999999,0.000625629,0.000252731,0.00108031
1.75897e+09,0.00248473,-0.00143123,-0.00408499,0.999999,0.000850942,0.000582859,0.000943244
1.75897e+09,0.00305722,-0.00176249,-0.00444425,0.999999,0.000840383,0.000534291,0.00103861
1.75897e+09,0.00298701,-0.000965919,-0.00493313,0.999999,0.00103212,0.000382042,0.000800554
1.75897e+09,0.00266799,-0.00256069,-0.00468741,0.999999,0.000882387,0.000567539,0.00087383
1.75897e+09,0.00412846,-0.00225711,-0.00483997,0.999999,0.000826227,0.000273203,0.00101127
1.75897e+09,0.0041922,-0.00233445,-0.00504434,0.999999,0.000785705,0.000244811,0.000931068
1.75897e+09,0.00544113,-0.00248632,-0.00440052,0.999999,0.000765275,0.000258851,0.0012976
1.75897e+09,0.00539026,-0.00244459,-0.00388162,0.999999,0.000763924,0.000227012,0.000867103
1.75897e+09,0.00620438,-0.00404095,-0.00363213,0.999999,0.000637681,0.000109547,0.000877811
1.75897e+09,0.00582921,-0.00523213,-0.00282576,0.999999,0.000434792,0.000215048,0.0010047
1.75897e+09,0.00561302,-0.00530118,-0.00215032,1,0.00036705,0.000297377,0.000827057
1.75897e+09,0.00544286,-0.00451235,-0.00321117,0.999999,0.000486752,0.000208842,0.000921171
1.75897e+09,0.00556988,-0.00395238,-0.00429569,0.999999,0.000466691,0.000119968,0.00101519
