x,y,z,r,p,y
0.045797,-0.0240304,-0.0104635,177.018,-179.571,-179.852
0.0457456,-0.0275045,-0.00954244,177.055,-179.612,-179.841
0.0486074,-0.0257666,-0.010329,177.089,-179.65,-179.916
0.0446131,-0.0231711,-0.00867151,177.02,-179.52,-179.902
0.0423922,-0.0206034,-0.00793654,176.987,-179.587,-179.98
0.0409521,-0.0200242,-0.0084291,176.924,-179.544,-179.844
0.0428338,-0.0190275,-0.00459854,177.061,-179.722,-179.908
0.0437713,-0.0230776,-0.00624071,176.984,-179.604,-179.897
0.0455677,-0.0249941,-0.00523873,177.058,-179.582,-179.889
0.0450011,-0.0269391,-0.00435024,177.022,-179.686,-179.92
0.0418319,-0.0274613,-0.00784447,176.943,-179.62,-179.987
0.0390012,-0.0290766,-0.0094437,177.115,-179.632,-179.928
0.0400923,-0.0286277,-0.0116437,176.983,-179.763,-179.977
0.0374088,-0.0268612,-0.00915298,177.009,-179.656,-179.87
0.0388796,-0.021365,-0.0102223,177.059,-179.701,-179.973
0.0424774,-0.0195772,-0.0105863,177.103,-179.633,-179.832
0.042486,-0.0198844,-0.00820934,176.989,-179.605,-179.937
0.0477602,-0.0161127,-0.00797947,177.023,-179.658,-179.95
0.0464877,-0.0189841,-0.0070173,177.054,-179.6,179.981
0.0432039,-0.0196254,-0.00437254,176.985,-179.767,-179.859
0.0385865,-0.017478,-0.0083832,177.018,-179.689,-179.777
0.0385244,-0.0225902,-0.00920958,176.982,-179.744,-179.889
0.0401522,-0.0227032,-0.00897975,177.024,-179.74,-179.859
0.0471108,-0.0246426,-0.0148915,177.015,-179.553,-179.72
0.0459842,-0.0245699,-0.0132624,176.943,-179.58,-179.816
0.0452376,-0.0265235,-0.0122893,176.959,-179.668,-179.899
0.0403956,-0.0273385,-0.00775594,177.007,-179.631,-179.923
0.0437421,-0.029074,-0.0033127,176.982,-179.658,-179.982
0.0451896,-0.027691,-0.00777982,177.018,-179.592,-179.897
0.0437867,-0.0235536,-0.00745833,176.978,-179.64,-179.968
0.0406534,-0.0222793,-0.00930349,176.994,-179.686,-179.827
0.0416404,-0.0201864,-0.0130586,176.967,-179.712,-179.876
0.0415091,-0.0195946,-0.0128306,176.987,-179.526,-179.902
0.0416012,-0.0215046,-0.0137217,177,-179.698,-179.843
0.0423217,-0.0237373,-0.0137909,177.166,-179.657,-179.806
0.0467731,-0.0241167,-0.0121613,177.042,-179.611,-179.873
0.0426327,-0.0237563,-0.00806272,177.027,-179.664,-179.879
