x,y,z,r,p,y
0.0481012,-0.0199012,-0.0100234,176.978,-179.589,-179.843
0.0467866,-0.0193871,-0.00856349,177.063,-179.611,-179.897
0.0500839,-0.0188542,-0.00728941,177.041,-179.609,-179.953
0.0495136,-0.0189161,-0.00912883,176.927,-179.564,-179.853
0.0474749,-0.0222876,-0.00815838,177.052,-179.66,-179.907
0.0450946,-0.0253491,-0.00876161,177.124,-179.538,-179.929
0.0413182,-0.0239804,-0.00956072,176.953,-179.665,-179.902
0.03756,-0.0257853,-0.0139599,177.093,-179.63,-179.812
0.0374179,-0.0257196,-0.0119198,177.036,-179.775,-179.847
0.0339154,-0.0283696,-0.0100627,176.991,-179.771,-179.894
0.0380681,-0.0255147,-0.0132173,177.037,-179.682,-179.87
0.0385228,-0.0241694,-0.0117782,176.945,-179.653,-179.875
0.0415904,-0.0216295,-0.0092016,176.954,-179.741,-179.93
0.0442928,-0.0207851,-0.00817168,177.036,-179.682,-179.886
0.0452579,-0.0231007,-0.00594856,177.023,-179.697,-179.998
0.0474934,-0.0237955,-0.00329572,177.074,-179.583,-179.965
0.0507553,-0.0254379,-0.00292746,177.082,-179.571,179.998
0.0499681,-0.0268475,-0.00601245,177.001,-179.575,-179.858
0.0474146,-0.0281653,-0.00975297,177.113,-179.454,-179.954
0.0467579,-0.0251595,-0.0110207,177.1,-179.6,-179.902
0.0440347,-0.0215584,-0.0101676,177.044,-179.71,-179.937
0.0418155,-0.0234761,-0.00762311,177.024,-179.633,-179.925
0.0395837,-0.0223285,-0.0100099,177.036,-179.583,-179.856
0.0417944,-0.0218183,-0.0104739,177.03,-179.598,-179.872
0.0421247,-0.0238405,-0.00949719,177.062,-179.755,-179.765
0.0398595,-0.0228802,-0.0101768,177.009,-179.634,-179.857
0.039395,-0.0232858,-0.00954571,177.003,-179.662,-179.891
0.0392809,-0.0262892,-0.00719455,176.997,-179.649,-179.905
0.043662,-0.0258039,-0.00886535,177.035,-179.627,-179.813
0.0457251,-0.0235613,-0.0124939,176.99,-179.604,-179.908
0.0444695,-0.0231857,-0.00785686,176.855,-179.483,179.987
0.0440017,-0.0236313,-0.0104582,176.983,-179.712,-179.876
0.0455114,-0.0241391,-0.0123299,177.052,-179.592,-179.829
0.048241,-0.022266,-0.017157,177.009,-179.626,-179.838
0.0486745,-0.0228884,-0.01737,177.038,-179.522,-179.807
0.0506914,-0.0259041,-0.0147945,177.07,-179.651,-179.857
0.0487223,-0.0259013,-0.0121555,177.058,-179.585,-179.944
0.04477,-0.0252671,-0.00821987,177.154,-179.698,-179.837
0.0446604,-0.0239979,-0.00715552,176.994,-179.567,-179.88
0.0430025,-0.0223126,-0.00369686,176.968,-179.637,-179.901
0.0449246,-0.0227184,-0.00590543,177.072,-179.692,-179.996
0.045843,-0.023811,-0.0101117,177,-179.614,-179.801
0.0422531,-0.0224715,-0.0129861,177.038,-179.618,-179.939
0.0448459,-0.0227942,-0.0131411,177.065,-179.64,-179.907
0.042124,-0.0230939,-0.0128654,176.932,-179.655,-179.826
0.0433164,-0.0248736,-0.013596,176.943,-179.652,-179.846
0.0405476,-0.022994,-0.0125558,176.965,-179.726,-179.813
0.0417707,-0.024237,-0.0129323,176.979,-179.631,-179.904
0.0447289,-0.0219797,-0.0129626,176.989,-179.592,-179.846
0.0450866,-0.0211506,-0.0120526,177.022,-179.642,-179.879
0.0440367,-0.0218149,-0.00708172,176.969,-179.679,-179.845
0.0450165,-0.0227128,-0.0061436,177.05,-179.683,-179.997
0.0434613,-0.0254282,-0.00368268,177.025,-179.693,-179.906
0.0420617,-0.0239706,-0.00371023,177.072,-179.658,-179.987
0.0471949,-0.0262948,-0.00321345,177.115,-179.678,-179.971
0.0470429,-0.0254539,-0.0051248,177.014,-179.597,-179.998
0.045876,-0.0261898,-0.00778483,176.997,-179.591,-179.864
0.0441127,-0.0260508,-0.00935756,177.153,-179.663,-179.827
0.0423744,-0.0261424,-0.009087,177.01,-179.713,-179.876
0.0409925,-0.0266265,-0.0127741,177.039,-179.78,-179.822
0.0423054,-0.0260075,-0.011324,177.067,-179.661,-179.94
0.0391369,-0.0234374,-0.0120706,176.925,-179.611,-179.878
0.042819,-0.0232997,-0.0118968,177.091,-179.469,-179.899
0.0417651,-0.0225226,-0.00589055,176.987,-179.77,-179.999
0.0448195,-0.0236051,-0.00510488,177.08,-179.756,-179.893
0.0443655,-0.0206099,-0.00471109,177.106,-179.68,-179.947
0.0418254,-0.0202483,-0.00929185,176.919,-179.64,-179.903
0.0442661,-0.0208305,-0.00941429,176.985,-179.587,-179.852
0.0410893,-0.0218083,-0.00897689,177.037,-179.811,-179.907
0.0421031,-0.0237621,-0.00534714,177.031,-179.643,-179.976
0.0411976,-0.0241509,-0.00499527,176.956,-179.676,-179.941
0.040057,-0.0232538,-0.00276578,177.049,-179.827,-179.837
0.043097,-0.023811,-0.00394292,177.146,-179.509,-179.922
0.0426007,-0.0235352,-0.00786666,176.975,-179.607,-179.886
0.0403464,-0.024802,-0.00410193,177.041,-179.808,-179.974
0.0388442,-0.0239577,-0.00758077,176.995,-179.681,-179.922
0.0397355,-0.0240043,-0.0113276,176.981,-179.525,-179.848
0.0399266,-0.0227357,-0.0116529,176.992,-179.648,-179.87
0.0420833,-0.0247849,-0.0115343,176.964,-179.605,-179.891
0.0436709,-0.023777,-0.0140581,177.062,-179.664,-179.907
0.0464349,-0.0219863,-0.0134777,177.058,-179.633,-179.82
0.0463902,-0.022222,-0.0155147,176.996,-179.756,-179.827
0.0473378,-0.023285,-0.0106363,177.068,-179.766,-179.861
0.0457012,-0.0250835,-0.0111729,176.929,-179.63,-179.942
0.0479956,-0.0258601,-0.0111675,177.042,-179.562,-179.869
0.0489076,-0.0273321,-0.0122402,176.999,-179.733,-179.907
0.0447853,-0.0245007,-0.0111371,176.934,-179.57,-179.948
0.0463665,-0.0242329,-0.0127979,177.023,-179.53,-179.9
0.0484805,-0.022785,-0.00944926,177.105,-179.628,-179.984
0.0482888,-0.0248086,-0.00793885,177.105,-179.796,-179.884
0.04575,-0.0239268,-0.00597178,177.057,-179.571,-179.962
0.0431361,-0.0221194,-0.00565931,176.954,-179.734,-179.835
0.0379582,-0.0203075,-0.00808648,176.913,-179.557,-179.911
0.0387939,-0.0227881,-0.00810266,176.963,-179.641,-179.925
0.038617,-0.0241066,-0.011697,177.091,-179.591,-179.859
0.04246,-0.0245512,-0.0118096,176.958,-179.595,-179.865
0.0479565,-0.0238703,-0.0125835,177.077,-179.607,-179.855
0.0452399,-0.023831,-0.00804719,176.984,-179.583,-179.932
0.0447248,-0.0266769,-0.00589951,177.129,-179.632,-179.827
0.0402787,-0.0236093,-0.00660093,176.994,-179.593,179.971
0.0404433,-0.0239163,-0.00636554,177.085,-179.67,-179.892
0.042586,-0.0237809,-0.00699778,177.051,-179.532,-179.972
0.0427317,-0.0266844,-0.00727449,177.097,-179.629,-179.92
0.0469438,-0.0249507,-0.00845876,177.124,-179.759,-179.874
0.0497387,-0.0240671,-0.0089641,177.093,-179.575,-179.952
0.04753,-0.0240216,-0.00813792,177.027,-179.717,-179.895
0.0443645,-0.0241164,-0.0105305,177.024,-179.558,-179.896
0.0423684,-0.0239842,-0.0115842,177.04,-179.639,-179.878
0.0423275,-0.0233965,-0.0114598,177.142,-179.6,-179.873
0.0396532,-0.024928,-0.0144254,177.055,-179.681,-179.869
0.0423514,-0.0264659,-0.012291,177.059,-179.713,-179.894
0.0415027,-0.0255575,-0.0127895,176.999,-179.583,-179.82
0.0430227,-0.0242443,-0.00898806,177.075,-179.688,-179.985
0.0456959,-0.0245007,-0.00927606,177.021,-179.584,-179.847
0.0451552,-0.0229514,-0.00929972,177.021,-179.62,-179.88
0.0494942,-0.0232038,-0.0092434,177.085,-179.721,-179.874
0.0472067,-0.0229428,-0.0118905,177.025,-179.66,-179.772
0.0448857,-0.0236765,-0.0113856,177.071,-179.553,-179.777
0.0457009,-0.0244276,-0.0123814,177.089,-179.808,-179.787
0.0417397,-0.0242983,-0.0145641,177.059,-179.722,-179.817
0.0380156,-0.0247738,-0.0114697,177.025,-179.789,-179.815
0.0420789,-0.0248028,-0.00727185,176.93,-179.609,-179.914
0.0439257,-0.0238143,-0.00614301,177.028,-179.719,-179.976
0.0458802,-0.023647,-0.00858011,177.042,-179.515,-179.911
0.0464346,-0.0211499,-0.0118776,177.049,-179.691,-179.79
0.0473957,-0.0234723,-0.0126918,177.023,-179.684,-179.782
0.0486081,-0.0237673,-0.0131326,177.019,-179.485,-179.879
0.0506186,-0.0240064,-0.0117934,177.034,-179.561,-179.898
0.0519938,-0.0264351,-0.0132188,177.011,-179.417,-179.9
0.0523302,-0.026927,-0.014616,177.177,-179.514,-179.909
0.0492791,-0.0263321,-0.0132554,177.115,-179.464,-179.866
0.0471447,-0.0260055,-0.013906,177.035,-179.662,-179.875
0.0499931,-0.0236485,-0.0123524,177.191,-179.592,-179.814
0.0490068,-0.0210071,-0.0142248,177.014,-179.616,-179.835
0.0507608,-0.0212708,-0.0125417,177.051,-179.547,-179.847
0.0463785,-0.0201438,-0.014314,177.052,-179.645,-179.838
0.045023,-0.0196477,-0.0111692,177.041,-179.661,-179.864
0.0433337,-0.0212988,-0.0093345,177.055,-179.772,-179.898
0.0414567,-0.0208116,-0.00760001,177.004,-179.554,-179.909
0.0404313,-0.0217776,-0.00914613,177.012,-179.64,-179.892
0.039159,-0.0213424,-0.00932917,177.074,-179.655,-179.846
0.0378674,-0.021848,-0.00730409,176.889,-179.707,-179.924
0.0378558,-0.0230228,-0.00839033,176.951,-179.693,-179.852
0.0407896,-0.0247568,-0.00817987,176.991,-179.599,-179.838
0.0438512,-0.0259417,-0.0118584,176.998,-179.533,-179.932
0.0455591,-0.0294661,-0.0105059,177.169,-179.755,-179.825
0.0455907,-0.0313088,-0.00816538,177.074,-179.691,-179.907
0.0463125,-0.0279732,-0.00984466,177.094,-179.794,-179.895
0.044543,-0.0285776,-0.00706689,177.033,-179.664,-179.865
0.0464374,-0.0261313,-0.00668711,177.12,-179.737,-179.923
0.0475622,-0.0245618,-0.00645163,176.959,-179.62,-179.86
0.0449215,-0.0237205,-0.00490887,176.908,-179.519,179.938
0.0445226,-0.0224014,-0.00652959,176.926,-179.573,-179.91
0.0469332,-0.0224228,-0.00712129,177.066,-179.674,-179.957
0.0505031,-0.0247992,-0.00716721,177.089,-179.665,-179.894
0.0498909,-0.0239678,-0.00845465,177.121,-179.709,-179.959
0.0487999,-0.0251345,-0.00973304,176.994,-179.752,-179.759
0.0504756,-0.0257524,-0.00948367,177.121,-179.698,-179.901
0.0489598,-0.0258374,-0.00803833,177.12,-179.727,-179.9
0.044201,-0.0277653,-0.00717422,177.023,-179.633,-179.987
0.0446862,-0.0299355,-0.000866468,177.081,-179.682,179.998
0.0414615,-0.0268078,-0.00558261,177.012,-179.572,-179.914
0.0403983,-0.0255206,-0.00498522,176.932,-179.634,-179.936
0.044369,-0.026114,-0.00503271,177.058,-179.595,-179.927
